District,Total Population,Not_Hispanic_White,Not_Hispanic_Black,Not_Hispanic_AAPI,Not_Hispanic_Other,Not_Hispanic_Two_or_More,Hispanic
1,62781,32952,13452,10812,252,1547,3766
2,95439,17747,65993,5850,340,2267,3242
3,75235,1472,71010,316,267,1047,1123
4,123575,9925,76399,287,361,1222,35381
5,74396,843,70064,46,173,746,2524
6,90841,312,88525,67,224,799,914
7,71071,262,68787,64,185,606,1167
8,247373,51491,52219,2019,478,1312,139854
9,165201,24307,19044,25910,319,1011,94610
10,118093,4300,39440,242,265,405,73441
11,70474,1664,59671,333,119,569,8118
12,127869,51775,23039,8197,458,2071,42329
14,117738,49809,8027,3637,425,1801,54039
15,59458,959,55468,179,131,456,2265
16,199476,138043,2022,10755,565,2657,45434
17,144096,55743,4782,17421,730,3188,62232
18,117041,88418,10681,9814,345,1977,5806
19,200786,150551,13305,12344,649,3912,20025
20,91279,49420,9909,12819,474,2138,16519
22,101941,34863,62094,377,194,1095,3318
24,141038,60488,25322,20841,817,3824,29746
25,200391,29371,33033,3130,553,1299,133005
31,24266,20452,116,1208,46,214,2230
