"","District","Year","Total_Crime","TIC"
"1","001",2010,12525,6922
"2","001",2011,11830,6529
"3","001",2012,12260,6877
"4","001",2013,12216,6439
"5","001",2014,11580,6214
"6","001",2015,12006,6597
"7","001",2016,13746,7814
"8","001",2017,15427,9143
"9","001",2018,15718,8951
"10","001",2019,15309,8548
"11","002",2010,15969,6211
"12","002",2011,15341,6181
"13","002",2012,13633,5557
"14","002",2013,12849,5022
"15","002",2014,11569,4748
"16","002",2015,10781,4498
"17","002",2016,11465,5151
"18","002",2017,11656,5119
"19","002",2018,11944,4952
"20","002",2019,11267,4443
"21","003",2010,19706,7003
"22","003",2011,18463,7290
"23","003",2012,17861,6649
"24","003",2013,16057,5990
"25","003",2014,13786,4893
"26","003",2015,13090,4885
"27","003",2016,12367,4906
"28","003",2017,12721,5067
"29","003",2018,12157,4488
"30","003",2019,12525,4679
"31","004",2010,21220,8355
"32","004",2011,21436,8785
"33","004",2012,20028,7836
"34","004",2013,17956,6846
"35","004",2014,16730,6080
"36","004",2015,15887,5595
"37","004",2016,15033,5570
"38","004",2017,14780,5591
"39","004",2018,14252,5198
"40","004",2019,14073,4818
"41","005",2010,16289,5936
"42","005",2011,15968,6105
"43","005",2012,15458,5480
"44","005",2013,13989,4892
"45","005",2014,12608,4437
"46","005",2015,11366,3955
"47","005",2016,11645,4268
"48","005",2017,11773,4123
"49","005",2018,12037,4075
"50","005",2019,11388,3689
"51","006",2010,21402,8277
"52","006",2011,20665,8257
"53","006",2012,19458,7426
"54","006",2013,18340,7123
"55","006",2014,16552,6438
"56","006",2015,16074,6164
"57","006",2016,16232,6600
"58","006",2017,16573,6593
"59","006",2018,16581,6305
"60","006",2019,16898,6062
"61","007",2010,22619,8402
"62","007",2011,21260,7947
"63","007",2012,20332,7176
"64","007",2013,18225,6427
"65","007",2014,15706,5455
"66","007",2015,15778,4955
"67","007",2016,14233,5224
"68","007",2017,13838,4761
"69","007",2018,14346,4863
"70","007",2019,13744,4577
"71","008",2010,26524,10720
"72","008",2011,25386,10580
"73","008",2012,22725,9335
"74","008",2013,20303,8516
"75","008",2014,18297,7533
"76","008",2015,17349,6904
"77","008",2016,17573,7780
"78","008",2017,16584,7011
"79","008",2018,16476,6812
"80","008",2019,15744,6103
"81","009",2010,18524,7212
"82","009",2011,18465,7240
"83","009",2012,16837,6843
"84","009",2013,14918,5906
"85","009",2014,13551,5393
"86","009",2015,12761,4991
"87","009",2016,12687,5361
"88","009",2017,11778,4975
"89","009",2018,11109,4621
"90","009",2019,11031,4312
"91","010",2010,16132,5594
"92","010",2011,14976,5636
"93","010",2012,15226,5303
"94","010",2013,14001,4564
"95","010",2014,12591,4341
"96","010",2015,11803,3964
"97","010",2016,12606,4729
"98","010",2017,12539,4524
"99","010",2018,12674,4255
"100","010",2019,12509,4018
"101","011",2010,22589,6760
"102","011",2011,21610,6935
"103","011",2012,22081,6808
"104","011",2013,21961,5576
"105","011",2014,20673,5067
"106","011",2015,19531,4985
"107","011",2016,18653,5781
"108","011",2017,18068,5639
"109","011",2018,19283,5800
"110","011",2019,18730,5191
"111","012",2010,17267,8177
