"","District","Year","TIC","Violent","Arrests","Total.Population","Not_Hispanic_White","Not_Hispanic_Black","Not_Hispanic_AAPI","Not_Hispanic_Other","Not_Hispanic_Two_or_More","Hispanic","Crime_per_1000"
"1",1,2010,6922,587,1053,62781,32952,13452,10812,252,1547,3766,110.256287730364
"2",1,2011,6529,537,1309,62781,32952,13452,10812,252,1547,3766,103.996432041541
"3",1,2012,6877,555,1134,62781,32952,13452,10812,252,1547,3766,109.539510361415
"4",1,2013,6439,492,1133,62781,32952,13452,10812,252,1547,3766,102.562877303643
"5",1,2014,6214,482,1209,62781,32952,13452,10812,252,1547,3766,98.9789904588968
"6",1,2015,6597,561,1178,62781,32952,13452,10812,252,1547,3766,105.079562287953
"7",1,2016,7814,808,1250,62781,32952,13452,10812,252,1547,3766,124.464408021535
"8",1,2017,9143,969,1231,62781,32952,13452,10812,252,1547,3766,145.633232984502
"9",1,2018,8951,865,1130,62781,32952,13452,10812,252,1547,3766,142.574982876985
"10",1,2019,8548,787,1170,62781,32952,13452,10812,252,1547,3766,136.155843328396
"11",2,2010,6211,1272,536,95439,17747,65993,5850,340,2267,3242,65.0782175001834
"12",2,2011,6181,1379,595,95439,17747,65993,5850,340,2267,3242,64.7638805938872
"13",2,2012,5557,1325,564,95439,17747,65993,5850,340,2267,3242,58.2256729429269
"14",2,2013,5022,1174,537,95439,17747,65993,5850,340,2267,3242,52.6199981139786
"15",2,2014,4748,1166,507,95439,17747,65993,5850,340,2267,3242,49.7490543698069
"16",2,2015,4498,1080,434,95439,17747,65993,5850,340,2267,3242,47.1295801506722
"17",2,2016,5151,1333,491,95439,17747,65993,5850,340,2267,3242,53.9716468110521
"18",2,2017,5119,1356,540,95439,17747,65993,5850,340,2267,3242,53.6363541110028
"19",2,2018,4952,1293,483,95439,17747,65993,5850,340,2267,3242,51.8865453326208
"20",2,2019,4443,1048,373,95439,17747,65993,5850,340,2267,3242,46.5532958224625
"21",3,2010,7003,2064,709,75235,1472,71010,316,267,1047,1123,93.0816774107796
"22",3,2011,7290,2009,628,75235,1472,71010,316,267,1047,1123,96.8963913072373
"23",3,2012,6649,1966,621,75235,1472,71010,316,267,1047,1123,88.3764205489466
"24",3,2013,5990,1669,599,75235,1472,71010,316,267,1047,1123,79.6171994417492
"25",3,2014,4893,1456,522,75235,1472,71010,316,267,1047,1123,65.0362198444873
"26",3,2015,4885,1491,486,75235,1472,71010,316,267,1047,1123,64.9298863560843
"27",3,2016,4906,1697,457,75235,1472,71010,316,267,1047,1123,65.2090117631422
"28",3,2017,5067,1797,453,75235,1472,71010,316,267,1047,1123,67.3489732172526
"29",3,2018,4488,1463,421,75235,1472,71010,316,267,1047,1123,59.6530869940852
"30",3,2019,4679,1559,396,75235,1472,71010,316,267,1047,1123,62.1917990297069
"31",4,2010,8355,2108,787,123575,9925,76399,287,361,1222,35381,67.6107626947198
"32",4,2011,8785,2028,774,123575,9925,76399,287,361,1222,35381,71.0904309124014
"33",4,2012,7836,1992,738,123575,9925,76399,287,361,1222,35381,63.4108840784948
"34",4,2013,6846,1618,681,123575,9925,76399,287,361,1222,35381,55.3995549261582
"35",4,2014,6080,1562,639,123575,9925,76399,287,361,1222,35381,49.2008901476836
"36",4,2015,5595,1510,657,123575,9925,76399,287,361,1222,35381,45.2761480882055
"37",4,2016,5570,1680,561,123575,9925,76399,287,361,1222,35381,45.0738417964799
"38",4,2017,5591,1732,596,123575,9925,76399,287,361,1222,35381,45.2437790815294
"39",4,2018,5198,1545,577,123575,9925,76399,287,361,1222,35381,42.0635241756019
"40",4,2019,4818,1440,523,123575,9925,76399,287,361,1222,35381,38.9884685413716
"41",5,2010,5936,1721,521,74396,843,70064,46,173,746,2524,79.7892359804291
"42",5,2011,6105,1658,507,74396,843,70064,46,173,746,2524,82.0608634872843
"43",5,2012,5480,1567,537,74396,843,70064,46,173,746,2524,73.6598741867842
"44",5,2013,4892,1348,518,74396,843,70064,46,173,746,2524,65.7562234528738
"45",5,2014,4437,1230,584,74396,843,70064,46,173,746,2524,59.6403032421098
