"","SSL SCORE","PREDICTOR RAT AGE AT LATEST ARREST","PREDICTOR RAT VICTIM SHOOTING INCIDENTS","PREDICTOR RAT VICTIM BATTERY OR ASSAULT","PREDICTOR RAT ARRESTS VIOLENT OFFENSES","PREDICTOR RAT GANG AFFILIATION","PREDICTOR RAT NARCOTIC ARRESTS","PREDICTOR RAT TREND IN CRIMINAL ACTIVITY","PREDICTOR RAT UUW ARRESTS","SEX CODE CD","RACE CODE CD","WEAPON I","DRUG I","AGE GROUP","AGE TO","STOP ORDER NO","PAROLEE I","LATEST DATE","LATEST DIST","MAJORITY DIST","DLST","LATEST DIST RES","WEAPONS ARR CNT","LATEST WEAPON ARR DATE","NARCOTICS ARR CNT","LATEST NARCOTIC ARR DATE","IDOC RES CITY","IDOC RES STATE CODE","IDOC RES ZIP CODE","IDOC CPD DIST","CPD ARREST I","DOMESTIC ARR CNT","LATEST DOMESTIC ARR DATE","AGE CURR","SSL LAST PTV DATE","TRAP STATUS","RAW SSL SCORE","HEAT SCORE","RAW_HEAT_SCORE","STATUS I","PRE RAW HEAT SCORE","TRAP FLAGS","SSL FLAGS","LATITUDE","LONGITUDE","CENSUS TRACT","COMMUNITY AREA","LOCATION","District"
"1",500,"less than 20",1,1,6,1,1,0,2,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2015,1,1,NA,1,1,2015,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2013,NA,0.13143,500,0.13143,"Y",13143,1,1,41.8593868834322,-87.6152917160718,17031330100,"NEAR SOUTH SIDE","(41.8593868834322, -87.6152917160718)",1
"2",497,"less than 20",0,0,3,0,0,-0.2,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,7,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12616,497,0.12616,"Y",12616,NA,1,41.7687665278746,-87.6493595480162,17031681100,"ENGLEWOOD","(41.7687665278746, -87.6493595480162)",1
"3",473,"less than 20",1,2,3,1,1,1.8,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12177,473,0.12177,"Y",12177,NA,5,41.7008553479688,-87.6003083366785,17031500200,"PULLMAN","(41.7008553479688, -87.6003083366785)",1
"4",467,"20-30",0,5,0,1,4,-0.2,0,"M","BLK","N","Y","20-30","20-30",NA,NA,2016,1,11,NA,1,NA,NA,7,2014,NA,NA,NA,NA,"Y",NA,NA,"20-30",NA,NA,0.12077,467,0.12077,"Y",12077,NA,11,41.8678937582906,-87.6429681226844,17031841900,"NEAR WEST SIDE","(41.8678937582906, -87.6429681226844)",1
"5",463,"less than 20",1,2,0,1,0,0.2,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2015,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12003,463,0.12003,"Y",12003,NA,NA,41.8059244036829,-87.6040581906155,17031390400,"KENWOOD","(41.8059244036829, -87.6040581906155)",1
"6",456,"less than 20",1,1,3,1,0,-0.1,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,1,7,NA,1,1,2015,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2016,NA,0.11873,456,0.11873,"Y",11873,NA,NA,41.8420108701563,-87.6220362346158,17031839200,"DOUGLAS","(41.8420108701563, -87.6220362346158)",1
"7",440,"less than 20",0,0,4,1,0,-2.9,1,"M","BLK","N","N","less than 20","less than 20",NA,NA,2014,19,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.11573,440,0.11573,"Y",11573,NA,NA,41.9464894898654,-87.6471131860349,17031061800,"LAKE VIEW","(41.9464894898654, -87.6471131860349)",1
"8",435,"less than 20",1,1,3,0,0,-2,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2014,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.11482,435,0.11482,"Y",11482,1,NA,41.8593868834322,-87.6152917160718,17031330100,"NEAR SOUTH SIDE","(41.8593868834322, -87.6152917160718)",1
"9",435,"less than 20",1,1,3,1,1,-0.8,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2015,1,2,NA,1,NA,NA,1,2015,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.11484,435,0.11484,"Y",11484,NA,NA,41.8484484826242,-87.6173869137058,17031841000,"NEAR SOUTH SIDE","(41.8484484826242, -87.6173869137058)",1
"10",429,"less than 20",0,0,2,1,2,0,1,"M","BLK","Y","Y","less than 20","less than 20",NA,"Y",2016,1,7,NA,1,1,2013,1,2014,"CHICAGO","IL",60653,NA,"Y",1,2016,"less than 20",NA,NA,0.11368,429,0.11368,"Y",11368,NA,NA,41.8593868834322,-87.6152917160718,17031330100,"NEAR SOUTH SIDE","(41.8593868834322, -87.6152917160718)",1
"11",428,"20-30",1,3,1,1,2,-0.8,0,"M","WHI","Y","Y","20-30","20-30",NA,"Y",2015,14,25,"IL",1,1,2007,3,2014,"CHICAGO","IL",60607,NA,"Y",NA,NA,"20-30",2012,4,0.11359,428,0.11359,"Y",11359,NA,NA,41.9157082058282,-87.6995968581268,17031222500,"LOGAN SQUARE","(41.9157082058282, -87.6995968581268)",1
"12",427,"less than 20",1,1,1,1,0,1,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"20-30",2015,NA,0.11334,427,0.11334,"Y",11334,NA,1,41.8419291266686,-87.6283694983045,17031350400,"DOUGLAS","(41.8419291266686, -87.6283694983045)",1
"13",417,"20-30",0,1,1,0,0,2.1,0,"F","BLK","N","N","20-30","20-30",NA,NA,2016,1,18,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"20-30",NA,NA,0.11151,417,0.11151,"Y",11151,NA,NA,41.8710422139283,-87.6314026955702,17031839000,"LOOP","(41.8710422139283, -87.6314026955702)",1
"14",416,"less than 20",0,0,1,1,8,-0.5,1,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,10,10,NA,1,1,2014,6,2016,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.11135,416,0.11135,"Y",11135,NA,NA,41.8625775328284,-87.7201851080863,17031838700,"NORTH LAWNDALE","(41.8625775328284, -87.7201851080863)",1
"15",410,"less than 20",0,1,2,0,1,-1.2,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2015,1,1,NA,1,NA,NA,1,2012,NA,NA,NA,NA,"Y",NA,NA,"20-30",NA,NA,0.11027,410,0.11027,"Y",11027,NA,NA,41.8419291266686,-87.6283694983045,17031350400,"DOUGLAS","(41.8419291266686, -87.6283694983045)",1
"16",409,"less than 20",0,0,3,1,3,-0.4,1,"M","BLK","Y","Y","less than 20","less than 20",NA,NA,2016,22,5,"IL",1,1,2013,2,2016,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.11001,409,0.11001,"Y",11001,NA,NA,41.7336612364378,-87.652116867918,17031711400,"AUBURN GRESHAM","(41.7336612364378, -87.652116867918)",1
"17",408,"20-30",0,0,0,0,0,0.1,0,"M","BLK","N","N","20-30","20-30",NA,NA,2015,18,18,"IL",1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"20-30",NA,NA,0.10981,408,0.10981,"Y",10981,NA,NA,41.8950346383305,-87.619717499427,17031081401,"NEAR NORTH SIDE","(41.8950346383305, -87.619717499427)",1
"18",407,"less than 20",0,0,0,0,1,0.3,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2015,3,15,NA,1,NA,NA,1,2014,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.1097,407,0.1097,"Y",10970,NA,NA,41.7619654535113,-87.6200150665538,17031691000,"GREATER GRAND CROSSING","(41.7619654535113, -87.6200150665538)",1
"19",406,"less than 20",0,0,1,1,0,2.5,0,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,3,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.10944,406,0.10944,"Y",10944,NA,NA,41.7830135121557,-87.6132776944952,17031420600,"WOODLAWN","(41.7830135121557, -87.6132776944952)",1
"20",406,"less than 20",0,0,1,0,5,1.4,0,"M","BLK","N","Y","less than 20","less than 20",NA,NA,2016,4,1,NA,1,NA,NA,1,2015,NA,NA,NA,NA,"Y",1,2013,"less than 20",NA,NA,0.10942,406,0.10942,"Y",10942,NA,NA,41.755567603843,-87.583606969526,17031834200,"SOUTH SHORE","(41.755567603843, -87.583606969526)",1
"21",500,"less than 20",1,4,3,1,0,-0.2,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2015,31,3,NA,2,1,2012,NA,NA,"CHICAGO","IL",60615,NA,"N",1,2010,"20-30",2014,3,0.13535,500,0.13535,"Y",13535,NA,3,NA,NA,NA,NA,NA,2
"22",500,"20-30",2,2,0,1,2,-1,0,"M","BLK","N","Y","20-30","20-30",NA,NA,2015,2,2,NA,2,NA,NA,1,2010,NA,NA,NA,NA,"Y",NA,NA,"20-30",2016,NA,0.13168,500,0.13168,"Y",13168,NA,NA,41.7910414693395,-87.6231791462295,17031400500,"WASHINGTON PARK","(41.7910414693395, -87.6231791462295)",2
"23",500,"less than 20",2,2,6,1,0,-1.1,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,3,3,NA,2,1,2012,NA,NA,NA,NA,NA,NA,"Y",1,2015,"less than 20",2016,NA,0.14435,500,0.14435,"Y",14435,NA,3,41.7621978711981,-87.5903116152784,17031430400,"SOUTH SHORE","(41.7621978711981, -87.5903116152784)",2
"24",500,"less than 20",1,1,5,1,1,-4.1,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2015,6,3,NA,2,1,2011,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2014,NA,0.13756,500,0.13756,"Y",13756,NA,3,41.748627097568,-87.6014511858359,17031440101,"CHATHAM","(41.748627097568, -87.6014511858359)",2
"25",495,"less than 20",1,2,2,1,0,3,0,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,31,2,NA,2,1,2016,NA,NA,NA,NA,NA,NA,"N",NA,NA,"less than 20",2015,NA,0.12586,495,0.12586,"Y",12586,NA,NA,NA,NA,NA,NA,NA,2
"26",495,"less than 20",2,2,1,1,3,-0.5,0,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2015,2,2,NA,2,1,2011,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2015,NA,0.12577,495,0.12577,"Y",12577,NA,2,41.8205740263533,-87.6149860502965,17031380200,"GRAND BOULEVARD","(41.8205740263533, -87.6149860502965)",2
"27",490,"less than 20",0,1,5,1,0,-0.9,3,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2014,2,2,NA,2,3,2014,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.12497,490,0.12497,"Y",12497,NA,2,41.8277540762069,-87.6141894081307,17031351100,"DOUGLAS","(41.8277540762069, -87.6141894081307)",2
"28",489,"less than 20",0,2,2,0,0,1.8,1,"M","BLK","N","N","less than 20","less than 20",NA,NA,2016,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",NA,NA,0.1247,489,0.1247,"Y",12470,NA,NA,41.8417492998541,-87.608420576188,17031350100,"DOUGLAS","(41.8417492998541, -87.608420576188)",2
"29",481,"less than 20",1,1,2,1,0,1.8,1,"M","BLK","Y","N","less than 20","less than 20",NA,NA,2016,2,2,NA,2,1,2016,NA,NA,NA,NA,NA,NA,"Y",NA,NA,"less than 20",2014,NA,0.1233,481,0.1233,"Y",12330,NA,NA,41.7910414693395,-87.6231791462295,17031400500,"WASHINGTON PARK","(41.7910414693395, -87.6231791462295)",2
"30",481,"20-30",1,3,1,1,7,-1.7,0,"M","BLK","N","Y","20-30","20-30",NA,NA,2016,2,2,NA,2,NA,NA,4,2015,NA,NA,NA,NA,"Y",6,2014,"20-30",2013,NA,0.12323,481,0.12323,"Y",12323,NA,2,41.7911262008117,-87.6183210548728,17031400400,"WASHINGTON PARK","(41.7911262008117, -87.6183210548728)",2
